Post title,Post link,Created date,Impressions,Engagement rate
"Virginia’s mining efforts play a vital role in steel production around the world — and that starts with metallurgical coal. At the Metallurgical Coal Producers Association's annual conference, Virginia Energy’s Randy Moore joined industry leaders to discuss how smart, state-led regulation can support this critical industry. Moore spoke alongside Jonathan Rohrer of the West Virginia Department of Economic Development on a panel moderated by Troutman Pepper Locke LLP’s Brooks Smith, covering permitting reform, environmental stewardship, and the importance of industry-state collaboration.

#VirginiaEnergy #MetCoal #SteelStartsHere #EnvironmentalPolicy #Appalachia #EnergyLeadership",https://www.linkedin.com/feed/update/urn:li:activity:7331744142378561536,05/23/2025,714,4.5%
"Director Glenn Davis breaks down how Virginia utilities and businesses are partnering on behind-the-meter solutions to deliver clean, reliable energy straight to data centers and manufacturers—without straining the grid or raising costs for ratepayers. Davis shared these insights on a Reuters Events panel featuring global nuclear leaders including Mike King (U.S. Nuclear Regulatory Commission), Anna Bradford (International Atomic Energy Agency (IAEA), Rumina Velshi P.Eng, ICD.D (formerly, Canadian Nuclear Safety Commission – Commission canadienne de sûreté nucléaire), and Steve Catron (Certrec).

#SMRAR #SMRAR2025 #SMR #BehindTheMeter #EnergySecurity #AllOfTheAbove #energy #innovation",https://www.linkedin.com/feed/update/urn:li:activity:7330925375880896513,05/20/2025,977,10.5%
"“Grid security must be a primary focus—not a secondary consideration—when modernizing our grid,” said Deputy Director Julianne Szyper as she welcomed member states to NASEO - National Association of State Energy Officials's 2025 Mid-Atlantic Regional Meeting. ""The mid-Atlantic is home to our nation's capital, global financial hubs, world-class ports, the backbone of the world's digital infrastructure, and a collective GDP of $3 trillion—making it the 8th largest economy in the world and one of the most critical, fastest-growing energy corridors in the world.""

Energy leaders and experts from across the region came together in Richmond earlier this week discuss building the secure, modern energy systems our future demands—through stronger partnerships, smarter infrastructure, and a skilled workforce.

State Energy Office Director Vincent Maiden, P.G. Maiden moderated an insightful discussion on energy demand and load growth featuring Patrick Knight (Synapse) and Robert Young (Pennsylvania Department of Environmental Protection), and another on natural gas-electricity reliability with Camilo Serna (North American Electric Reliability Corporation (NERC) and Courtney Fasca (ReliabilityFirst Corporation).

Brandi Frazier Bestpitch (she/her), Virginia Energy's Director of Reliability, spoke on a panel exploring advanced nuclear deployment alongside BWXT Technologies and NASEO.",https://www.linkedin.com/feed/update/urn:li:activity:7330597410605338625,05/20/2025,619,4.7%
"Virginia continues to solidify its role as the nation’s leader in nuclear innovation with an investment in a new research and education reactor facility and a nuclear materials research center! These projects will enable cutting-edge research and expand in-state workforce development and energy security infrastructure thanks to $1.2 million in funding from Virginia Energy's Virginia Power Innovation Program and in partnership with Virginia’s top universities and nuclear leaders.

https://lnkd.in/gDeF-J5R",https://www.linkedin.com/feed/update/urn:li:activity:7330285359064375298,05/19/2025,1442,5.0%
"Small Modular Reactors (SMRs) can provide energy-hungry facilities with direct, on-site power. Behind-the-meter strategies like this are critical for easing the stress placed on our grid from our booming data center, advanced manufacturing, and EV sectors—all without passing development costs onto ratepayers. Learn more about this technology that will play a crucial role in Virginia's reliable, affordable, and increasingly clean energy future!

https://lnkd.in/gdpGa_Qx",https://www.linkedin.com/feed/update/urn:li:activity:7329959094562230273,05/18/2025,963,4.9%
"Henrico school buses are about to be a little cleaner and healthier! Virginia Energy has facilitated an award of $100,000 to the county for the purchase of 10 new propane-powered school buses through the Federal Highway Administration Congestion Mitigation and Air Quality (CMAQ) program.

With lower greenhouse gas emissions and cleaner-burning fuel, propane buses are a smart choice for local fleets. Localities in eligible air quality zones can receive up to $10,000 per vehicle for electric or alternative fuel fleet upgrades!

Learn more at:
https://lnkd.in/ezM9FsgH",https://www.linkedin.com/feed/update/urn:li:activity:7329868630223974400,05/18/2025,443,3.4%
"When people think of nuclear power, they often picture Homer Simpson napping at his console with green ooze everywhere. In reality, today's nuclear power plants don't have solo operators or plutonium paperweights. They're some of the most advanced facilities in the world, with incredibly rigorous safety standards, secure waste storage systems, and passive safety measures that prevent meltdowns.

Fun fact: Your granite countertops give off more radiation than living next door to a nuclear power plant over the course of a year.

More about what The Simpsons got wrong is available from the U.S. Department of Energy at https://lnkd.in/eEKQh2MQ",https://www.linkedin.com/feed/update/urn:li:activity:7329596725713584128,05/17/2025,840,6.5%
"Virginia’s world-class energy workforce keeps the lights on, fuels economic growth, and ensures a reliable, secure energy future for every community. Our continued investment in new technologies, infrastructure, and energy innovation means even more well-paying jobs for Virginians in the years ahead.

Learn more about Virginia's energy future at energy.virginia.gov",https://www.linkedin.com/feed/update/urn:li:activity:7329506026917883905,05/17/2025,176,2.3%
"Natural gas doesn't just provide reliable energy, it also provides reliable income. About 1 in 300 people employed in Virginia are part of a robust and growing #NaturalGas sector responsible for generating over 50% of Virginia's electricity.  

Learn more about the important role Natural Gas will play in our reliable, affordable, and increasingly clean energy future at: https://lnkd.in/ezNKgaXf",https://www.linkedin.com/feed/update/urn:li:activity:7329219325687468033,05/16/2025,204,1.5%
"Natural gas doesn't just provide reliable energy, it also provides reliable income. About 1 in 300 people employed in Virginia are part of a robust and growing #NaturalGas sector responsible for generating over 50% of Virginia's electricity.  

Learn more about the important role Natural Gas will play in our reliable, affordable, and increasingly clean energy future at: https://lnkd.in/ezNKgaXf",https://www.linkedin.com/feed/update/urn:li:activity:7329219325687468033,05/16/2025,2169,0.1%
"Natural gas doesn't just provide reliable energy, it also provides reliable income. About 1 in 300 people employed in Virginia are part of a robust and growing #NaturalGas sector responsible for generating over 50% of Virginia's electricity.  

Learn more about the important role Natural Gas will play in our reliable, affordable, and increasingly clean energy future at: https://lnkd.in/ezNKgaXf",https://www.linkedin.com/feed/update/urn:li:activity:7329219325687468033,05/16/2025,2373,0.3%
"Virginia is leading the charge in nuclear innovation—and that means more opportunity for skilled jobs across the Commonwealth. From engineering to operations, the nuclear workforce is growing fast.  #SeeYourselfInNuclear #WorkforceDevelopment #NuclearCareers

https://lnkd.in/eVb_tUE4
",https://www.linkedin.com/feed/update/urn:li:activity:7329113925768081408,05/16/2025,494,3.0%
"126 families in Buchanan County will soon have access to clean water thanks to a $4 million investment from Virginia Energy’s Abandoned Mine Land program. In partnership with Buchanan County PSA and Thompson & Litton, we broke ground this week on Phases 11 & 12 of the Hurley Water Project—bringing vital infrastructure to support the region's health, safety, and economic growth.
Office of Surface Mining Reclamation and Enforcement

Learn how our AML team is building stronger futures for communities across the Commonwealth at: https://lnkd.in/eUAgDtBy",https://www.linkedin.com/feed/update/urn:li:activity:7328857013633884161,05/15/2025,988,9.2%
"Virginia’s local governments are facing rising energy costs, aging infrastructure, and increasing demands for resilience. The good news? Proven state programs already exist to help.

At our upcoming workshop on May 20th, facility managers and local leaders will learn how to cut energy costs, modernize public buildings, and even generate new revenue—without spending upfront capital. Join us to explore practical solutions that are working across Virginia and hear directly from peers who are putting them into action.

Learn more and register at https://shr.link/xjdgy ",https://www.linkedin.com/feed/update/urn:li:activity:7328751304271425537,05/15/2025,409,4.9%
"Virginia’s local governments are facing rising energy costs, aging infrastructure, and increasing demands for resilience. The good news? Proven state programs already exist to help.

At our upcoming workshop on May 20th, facility managers and local leaders will learn how to cut energy costs, modernize public buildings, and even generate new revenue—without spending upfront capital. Join us to explore practical solutions that are working across Virginia and hear directly from peers who are putting them into action.

Learn more and register at https://shr.link/xjdgy ",https://www.linkedin.com/feed/update/urn:li:activity:7327694680312233984,05/12/2025,611,5.7%
"?? SUMMER ALERT: Abandoned quarries are not swimming holes. They're serious hazards.

As schools let loose and temperatures rise, remember that quarry waters often hide invisible dangers: sudden drop-offs, freezing underwater currents, toxic chemicals, submerged machinery, and sidewalls that are impossible to climb out of.

Every year, lives are lost chasing the perfect cool-down spot. So this year, stay safe and find a pool, not a pit.  ",https://www.linkedin.com/feed/update/urn:li:activity:7327332407139852289,05/11/2025,1105,3.3%
"All spent nuclear fuel created in the US over the last 80 years could fit inside a single average-sized grocery store. Innovative technologies have the potential to recycle over 95% of that spent fuel, offering a nearly limitless source of clean, reliable energy to power future economic opportunity.

Learn more about how nuclear provides Virginia with over 30% of its electricity at https://lnkd.in/esRN-dEW",https://www.linkedin.com/feed/update/urn:li:activity:7326983152642441218,05/10/2025,435,7.6%
"Virginia is already America’s Top State for Business—and with the launch of the Made in Virginia Investment Accelerator, we’re raising the bar even higher.

This first-of-its-kind initiative fast-tracks transformative projects by aligning permitting, infrastructure, energy, and workforce partners across government. Virginia Energy is proud to play a key role in ensuring the Commonwealth continues to lead on reliability, readiness, and results.

#MadeInVirginia #EconomicDevelopment 

https://lnkd.in/ejAYZy29 ",https://www.linkedin.com/feed/update/urn:li:activity:7326682576138506240,05/09/2025,789,4.1%
"Earlier this week, a seismometer located at our Charlottesville office's recorded a magnitude 3.0 earthquake in the Central Virginia Seismic Zone. Virginia Energy's detailed geologic mapping provides crucial insights into high strain zones, faults, and rock types in areas where earthquakes occur, supporting a better understanding of seismic activity across the Commonwealth. Learn more about our research on the Central Virginia Seismic Zone at https://lnkd.in/edpuqQ73

Image Source: University of Memphis, Center for Earthquake Research and Information",https://www.linkedin.com/feed/update/urn:li:activity:7326592213415522305,05/09/2025,780,5.0%
"Looking forward to next week's SMR & Advanced Reactor 2025 conference by Reuters Events where Director Glenn Davis will join global nuclear leaders in a discussion on streamlining regulation to accelerate advanced reactor deployment! Excited to hear insights from the impressive panel including Anna Bradford (International Atomic Energy Agency (IAEA) Rumina Velshi P.Eng, ICD.D (Canadian Nuclear Safety Commission – Commission canadienne de sûreté nucléaire), and Mike King (U.S. Nuclear Regulatory Commission) with Steve Catron (Certrec) moderating.

Learn more and register for the event at https://lnkd.in/efy76yaA 

#SMRAR #SMRAR2025 #nuclear #energy ",https://www.linkedin.com/feed/update/urn:li:activity:7325616699905327105,05/06/2025,784,9.8%
"Virginia Energy is in search of a Geologist that will be responsible for producing geologic maps and reports that support planning and construction projects, economic development, and the mitigation of geologic and environmental hazards. The selected candidate will conduct grant-funded investigations that support public safety by investigating landslide hazards using field and remote data collection techniques.

Learn more and apply at https://lnkd.in/etSux_J4 ",https://www.linkedin.com/feed/update/urn:li:activity:7324780043648331776,05/04/2025,1484,7.5%
"From clean energy financing to broadband infrastructure and geological research, Virginia Energy's work ensures our Commonwealth leads the nation in energy, mining, and geological innovation. Read our May newsletter to learn about all we've accomplished this month! Read at subscribe at https://ow.ly/eItm50VM4Nj ",https://www.linkedin.com/feed/update/urn:li:activity:7324417676901048320,05/03/2025,657,6.1%
"Virginia Energy geologists celebrated Earth Day at the Rappahannock Festival in Fredericksburg, engaging dozens of visitors with our interactive geological showcase. Our team inspired environmental curiosity through native specimen displays and by putting scientific tools in the hands of curious minds. This hands-on educational outreach advances our efforts to promote stewardship of Virginia's natural resources through increased public understanding and appreciation of our geological heritage.
",https://www.linkedin.com/feed/update/urn:li:activity:7324055434602979328,05/02/2025,463,9.5%
Over 100 ninth-grade students show up at Virginia Energy's #ArborDay celebration to help transform a former mining property by planting over 750 trees as part of the Commonwealth's ongoing commitment to revitalize coal communities through environmental stewardship and economic development.,https://www.linkedin.com/feed/update/urn:li:activity:7323790889120657408,05/01/2025,441,15.6%
"Virginia Energy set the tone for the 2025 Virginia Solar Summit with a simple message for solar industry partners: by choosing Virginia for your investments, you're placing projects in America's most business-friendly environment with ready access to both capital and customers hungry for clean energy solutions.

Deputy Director Julianne Szyper kicked things off with opening remarks on Virginia's unprecedented energy growth and the need for innovative solutions.

Director Glenn Davis spoke on the merits of leveraging solar and nuclear as part of an all-of-the-above strategy on a panel discussion alongside Benjamin Byboth (Commonwealth Fusion Systems), Todd Flowers (Dominion Energy), and April Wade (Virginia Nuclear Energy Consortium).

Virginia Clean Energy Innovation Bank Director Simon Glossop joined Dan French (Virginia Solar Summit), Braden Croy (Dominion Energy Innovation Center), and Tom Hucker (U.S. DOE Loan Programs Office (LPO)), and Greg Wolfson (Nevados) for a deep dive on driving and financing the future of clean energy technologies.

Virginia Energy Program Manager Aaron Berryhill provided critical insights on state policy successes and challenges alongside Dan French, Josephus Allmond (Southern Environmental Law Center), Peter Anderson (Appalachian Voices), Diane Cherry (MAREC Action), Robin Dutta (Chesapeake Solar & Storage Association), and Trieste L. (Lockwood Strategies).

Virginia Energy's $156 million Solar For All program was also in the spotlight, thanks to engaging presentation by our very own Callie Houghland.

Special thank you to our co-hosts the American Solar Grazing Association (ASGA) Society, Solar Farm Summit, and Dan French for another successful and engaging summit! See you next year!",https://www.linkedin.com/feed/update/urn:li:activity:7323688819055108097,05/01/2025,1596,21.0%
"Virginia Energy's Geology and Mineral Resources team led another successful Annual Geology Symposium, showcasing our built-in-house KarstView App and cutting-edge mapping technologies. We're empowering Virginia's geoscience community with innovative tools and expertise that inform critical land-use decisions throughout our communities.

Learn more at: https://ow.ly/Ubhr50VK6bX",https://www.linkedin.com/feed/update/urn:li:activity:7323315771554607106,04/30/2025,661,26.0%
"Virginia Energy's Educational Resource Library offers tools to stay informed, connected, and engaged with Virginia’s energy future. From trusted government data sources to K-12 lesson plans, university programs, and industry perspectives, explore how energy powers our lives at https://lnkd.in/eRJC3tbS",https://www.linkedin.com/feed/update/urn:li:activity:7322717560947331073,04/28/2025,657,6.7%
"Our May newsletter comes out next week, and you won't want to miss it! Sign up for exclusive insights on our programs, activities, and successes at https://ow.ly/SgXF50Upkrz. ",https://www.linkedin.com/feed/update/urn:li:activity:7321941352018022400,04/26/2025,269,2.6%
"Virginia's leadership in energy and manufacturing innovation are why companies like Hitachi Energy continue investing here! With a $22.5 million expansion at their Bland and Atkins facilities and 120 jobs on the way, the future of America's energy infrastructure is being built right here in Virginia. It's growth like this that makes us the best state in the nation for business (Glenn Youngkin).",https://www.linkedin.com/feed/update/urn:li:activity:7321865660735660032,04/25/2025,1606,6.5%
"Virginia Energy is hiring a GIS Coordinator to manage mapping, GIS, and GPS activities for Mined Land Repurposing and Coal Mine Safety programs. The selected candidate will also oversee the MLR permit review process as it pertains to mapping and GIS databases. 

Learn more at https://lnkd.in/e4M6PxDk 

#arcgis #gis #gisjobs ",https://www.linkedin.com/feed/update/urn:li:activity:7321609262437195780,04/25/2025,729,6.4%
"Behind Virginia Energy's public-facing work runs one of the Commonwealth's most successful tech talent pipelines. Now in its 18th year, our IT internship program—a collaboration between Virginia Energy and The University of Virginia's College at Wise—is more than just another line on a resume. Future tech leaders spend 2+ years tackling challenges alongside industry veterans, developing practical skills through real-world application. From internships to funding fusion reactors and everything in between, supporting Virginia's economic future is at the core of everything we do. ",https://www.linkedin.com/feed/update/urn:li:activity:7321534079546318851,04/25/2025,685,3.2%
"Virginia is one of just 12 recipients nationwide to receive a new U.S. Geological Survey (USGS) grant to reduce landslide risks. The funding will support a detailed landslide inventory in Grayson County—mapping where past landslides have occurred to help communities plan smarter, respond faster, and better prepare for future hazards.

https://lnkd.in/eUTM5uHm",https://www.linkedin.com/feed/update/urn:li:activity:7321213904477446144,04/24/2025,265,2.3%
"Data centers aren't just for tech giants or AI upstarts—virtually every essential service in our communities relies on this critical digital infrastructure. From public safety to healthcare, banking, farming, and beyond —data centers power it all.",https://www.linkedin.com/feed/update/urn:li:activity:7320869683430109184,04/23/2025,661,9.7%
"Curious minds and the spark of discovery — minerals mined in Virginia help power the next generation of creativity and leadership. The next time you see a child dreaming big, remember the resources that make it possible. 

#criticalminerals #mineralmining #STEM

Learn more about Virginia's rich geology at
https://lnkd.in/eZd8mzjg",https://www.linkedin.com/feed/update/urn:li:activity:7320809114018738176,04/23/2025,200,3.5%
"""VCEA's rigid ideology will cost Virginia families $5.5 billion in avoidable costs over the next 10 years."" Virginia Energy Director Glenn Davis explains how VCEA's renewable tunnel vision is jeopardizing Virginia's energy future—and why a technology-neutral approach that champions all clean energy sources, not just solar and wind, is needed to achieve our affordability, reliability, and emissions reduction goals. 

Read his full take: https://lnkd.in/eywRucrR",https://www.linkedin.com/feed/update/urn:li:activity:7320440437905780736,04/22/2025,2118,8.4%
"First responders depend on data centers to save lives. Data centers depend on reliable power to deliver critical information quickly. When every second counts, our digital infrastructure must operate without interruption. Behind the scenes, an all-of-the-above energy strategy ensures these systems remain operational 24/7, providing the dependable service Virginia can count on.",https://www.linkedin.com/feed/update/urn:li:activity:7320416453218689027,04/22/2025,372,5.4%
"Virginia Energy Solar Program Manager Aaron Berryhill co-led a first-of-its-kind study at Virginia Commonwealth University assessing the land use impacts of solar development across the Commonwealth. This work helps ensure Virginia can meet its energy goals while balancing agricultural, environmental, and community needs—making solar growth smarter, more strategic, and more sustainable as part of our all-of-the-above plan for Virginia's energy future. 

https://ow.ly/XX8r50VCpaI",https://www.linkedin.com/feed/update/urn:li:activity:7320054048177414144,04/21/2025,2151,6.0%
"Data centers require reliable baseload power from #nuclear and #naturalgas to ensure financial transactions arrive where they need to, securely and on time. Every time you check your balance or make a payment, data centers are working behind the scenes, keeping banking services running smoothly 24/7 for businesses and the millions of customers who depend on them.",https://www.linkedin.com/feed/update/urn:li:activity:7319434762123702273,04/19/2025,675,5.3%
"Data centers require reliable baseload power from #nuclear and #naturalgas to ensure financial transactions arrive where they need to, securely and on time. Every time you check your balance or make a payment, data centers are working behind the scenes, keeping banking services running smoothly 24/7 for businesses and the millions of customers who depend on them.",https://www.linkedin.com/feed/update/urn:li:activity:7319434762123702273,04/19/2025,952,1.2%
"Data centers require reliable baseload power from #nuclear and #naturalgas to ensure financial transactions arrive where they need to, securely and on time. Every time you check your balance or make a payment, data centers are working behind the scenes, keeping banking services running smoothly 24/7 for businesses and the millions of customers who depend on them.",https://www.linkedin.com/feed/update/urn:li:activity:7319434762123702273,04/19/2025,1627,2.9%
"Virginia Energy is working to build the strategic regional partnerships required to strengthen our nuclear infrastructure. Deputy Director Julianne Szyper joined the Atlantic Council's Atoms for Appalachia event this week, speaking on a panel with Jason El Koubi (Virginia Economic Development Partnership) and Megan Lucas, CCE,CEcD, IOM (CEO, Lynchburg Regional Business Alliance) where she updated attendees on the current state of energy in the Commonwealth and the challenges of meeting growing demand. Julianne also moderated a panel on strengthening the nuclear supply chain with Lukas Brun (E4 Carolinas), Erik Cothron (Nuclear Innovation Alliance), Zach McDaniel  (Framatome), and Erik Nygaard (BWX Technologies, Inc.).

The event showcased the power of collaboration across industry, policy, and regional leadership. It was wonderful to connect with longtime champions of nuclear innovation like Joyce Connery, former Chair of the Defense Nuclear Facilities Safety Board, and Jeff Whitt, the new Chair of the Virginia Innovation Nuclear (VIN) Hub.

From workforce to advanced manufacturing, Virginia Energy is proud to stand alongside these champions of innovation in the conversation shaping the next chapter of American nuclear leadership.
#AtomsForAppalachia #NuclearEnergy #NuclearPower #SupplyChain",https://www.linkedin.com/feed/update/urn:li:activity:7319359139950850048,04/17/2025,1961,15.9%
"The Virginia Clean Energy Innovation Bank (VCEIB) is advancing Virginia's hydrogen ecosystem by connecting Independence Hydrogen, the state's sole clean hydrogen producer, with potential customers for its innovative energy technology, piloted in #PetersburgVA. Independence Hydrogen captures waste gas from a bleach manufacturing plant and converts it into a valuable clean energy resource, unlocking new economic opportunities from previously unused materials.

Edward Cronin Rabita Banee, MPA, Ph.D. Pavan Chaitanya  Zoe York Jonika Rathi Ashish Sedai, Ph.D.

Learn more about VCEIB's innovative solutions to clean energy financing at https://ow.ly/OOM050VCosJ",https://www.linkedin.com/feed/update/urn:li:activity:7318996770993168384,04/18/2025,1370,16.2%
"The 2025 Virginia Solar Summit, co-hosted by Virginia Energy, coming to Richmond on April 28–30! Our team is looking forward to connecting with leaders across the solar industry and sharing our expertise on land use, permitting, program development, and Virginia’s path forward. With sessions on agrivoltaics, brightfield development, and more, this summit is a chance to learn, collaborate, and shape the future of solar as part of an all-of-the-above strategy for Virginia's energy future.

Register for event at: https://lnkd.in/e-djc3GC",https://www.linkedin.com/feed/update/urn:li:activity:7318680103087968256,04/17/2025,1163,6.2%
"Virginia's growing nuclear infrastructure will create diverse employment opportunities for Virginians. Investments from Amazon, Dominion, and the US Navy in our state's nuclear future brighten job prospects for mechanics, technicians, construction workers, and more!",https://www.linkedin.com/feed/update/urn:li:activity:7318619297365254146,04/14/2025,1256,59.6%
"According to a new Gallup poll, preferences for how we solve the nation's energy problems have evolved, with an emphasis on alternative energy dropping to its lowest level since 2011. It's a reminder that while renewables are important, a growing number of Americans support a more balanced approach. Virginia's all-of-the-above strategy—including natural gas, nuclear, and renewables—ensures we can meet demand, keep costs low, and cut emissions without putting reliability at risk.

Full Gallup report at https://lnkd.in/edf_4NPS",https://www.linkedin.com/feed/update/urn:li:activity:7318257227822190593,04/16/2025,685,7.7%
"While concern over energy affordability and availability has eased since a peak in 2022, a new Gallup poll shows 90% of Americans still worry about it. Virginia is responding with investments in reliable, around-the-clock power like nuclear and natural gas—keeping energy accessible, affordable, and secure as demand continues to rise. 

Full Gallup report at https://lnkd.in/edf_4NPS ",https://www.linkedin.com/feed/update/urn:li:activity:7317894854573780993,04/15/2025,398,4.8%
"While concern over energy affordability and availability has eased since a peak in 2022, a new Gallup poll shows 90% of Americans still worry about it. Virginia is responding with investments in reliable, around-the-clock power like nuclear and natural gas—keeping energy accessible, affordable, and secure as demand continues to rise. 

Full Gallup report at https://lnkd.in/edf_4NPS ",https://www.linkedin.com/feed/update/urn:li:activity:7317894854573780993,04/15/2025,34637,0.1%
"While concern over energy affordability and availability has eased since a peak in 2022, a new Gallup poll shows 90% of Americans still worry about it. Virginia is responding with investments in reliable, around-the-clock power like nuclear and natural gas—keeping energy accessible, affordable, and secure as demand continues to rise. 

Full Gallup report at https://lnkd.in/edf_4NPS ",https://www.linkedin.com/feed/update/urn:li:activity:7317894854573780993,04/15/2025,35035,0.1%
"Public confidence in #nuclearenergy is surging—and Virginia is leading the way. A new Gallup poll shows support for nuclear nearing an all-time high, as more Americans recognize its role as a safe, reliable, and emissions-free energy source. With major investments in SMRs and fusion, Virginia is building the nuclear backbone of a stronger and increasingly clean energy future.

Full Gallup report at https://lnkd.in/edf_4NPS ",https://www.linkedin.com/feed/update/urn:li:activity:7317607953174310916,04/14/2025,471,6.4%
"Virginia's energy strategy—embracing #naturalgas, #nuclear, and #renewables while cutting red tape to build a stronger, more flexible grid—aligns with the recommendations from a new report out of Stanford University. Drawing on insights from 80 of the nation's leading energy experts, the report confirms what Virginia already knows: investment in an all-of-the-above, flexible energy mix is key to avoiding an energy crisis. 

Stanford Doerr School of Sustainability | Stanford Energy

https://lnkd.in/gRPxjr5s ",https://www.linkedin.com/feed/update/urn:li:activity:7317526419331297281,04/14/2025,577,4.0%
"Congratulations to Virginia Tech on securing a $1.3 million grant from the Appalachian Regional Commission (ARC) to create a premier hydrogen innovation hub in Southwest Virginia! The team is pioneering clean hydrogen production through catalytic methane decomposition—transforming the region's abundant natural gas resources into economic opportunity. This is the type of forward-thinking, innovative research that keeps Virginia at the forefront of energy, technology, and opportunity.

https://lnkd.in/gqekc3rz",https://www.linkedin.com/feed/update/urn:li:activity:7316822759693586434,04/12/2025,885,8.8%
"??Current foreman and shot firer certifications expire in August??Virginia Energy's Coal Mine Safety Group will be offering virtual continuing education training on July 22, 2025 for anyone who may need to renew their certification. To register for a training session, visit https://lnkd.in/eqQghrhb",https://www.linkedin.com/feed/update/urn:li:activity:7316528855056351232,04/11/2025,201,3.5%
"Virginia Energy is helping shape the future of infrastructure, land use, and energy in the Commonwealth. This week, our experts joined industry leaders to share how we’re streamlining development, advancing data tools, and supporting reliable, affordable, and increasingly clean energy solutions at the Virginia Military Institute Center for Leadership and Ethics’ Environment Virginia Symposium in #Lynchburg. 

Director Glenn Davis and Deputy Director Julianne Szyper joined Alison Kaufmann and Katharine Bond for an engaging discussion on balancing growth, sustainability, and innovation as we navigate Virginia’s energy future. 

Director Davis also spoke on the importance of data centers in Virginia and the critical need for reliable baseload power to meet growing demand in a “Perspectives on Data Centers” panel alongside Julie Bolthouse, John Larson, Kate Smiley, and Brian George. 

State Geologist and Director of Geology and Mineral Resources Matt Heller joined Danielle S. and Stu Blankenship to showcase how Virginia's innovative geospatial tools are improving environmental monitoring, infrastructure planning, and water resource management across the Commonwealth. 
",https://www.linkedin.com/feed/update/urn:li:activity:7316188146797350912,04/10/2025,1522,19.4%
"Here's your chance to play a key roll in driving investments in Virginia's energy future! 

We are seeking an Investments Lead to support the Virginia Clean Energy Innovation Bank in it's mission to break down financing barriers and accelerate the deployment of clean power generation and energy infrastructure across the Commonwealth.

Learn more and apply at: https://lnkd.in/d69PmJfe",https://www.linkedin.com/feed/update/urn:li:activity:7315463900970344450,04/08/2025,894,6.5%
"A new report out of Stanford Energy confirms what Virginia's energy strategy already recognizes: natural gas is critical to ensuring reliability when demand surges. With Virginia's unprecedented growth in energy demand, this flexibility remains essential to our energy security and economic growth.

Read the full report at https://lnkd.in/gQx6qKEp

Stanford Doerr School of Sustainability",https://www.linkedin.com/feed/update/urn:li:activity:7315441819742289920,04/08/2025,699,8.9%
"Flour-dusted counters, secret family recipes, and a quick selfie break - mining makes these moments possible. Minerals mined throughout Virginia are critical to manufacturing processes across the globe, as well as cherished traditions at home. Next time you're mixing memories and cookie dough with loved ones, remember the unseen connection between our natural resources and life's sweetest moments.

#ifitsnotgrownitsmined #criticalminerals #mineralmining

Learn more about Virginia's rich geology at
https://lnkd.in/eZd8mzjg
",https://www.linkedin.com/feed/update/urn:li:activity:7314980619162193922,04/07/2025,251,15.9%
#CriticalMinerals power everything from smartphones and satellites to clean energy and national security. Programs like Earth MRI are helping identify new domestic sources—and Virginia is at the center of that work. Learn why this initiative has broad bipartisan support and what it means for the future of U.S. resource security in this short NPR segment: https://ow.ly/k89950VuPr7.,https://www.linkedin.com/feed/update/urn:li:activity:7314738817620471809,04/06/2025,234,9.0%
"Reliable baseload power from #naturalgas (and nuclear) keeps Virginia’s communities and industries moving forward. As the #1 state in the country for business (CNBC), Virginia’s continued success depends on smart investments in the predictable, reliable, and affordable energy sources that power innovation and opportunity.

Learn more at https://lnkd.in/ezNKgaXf",https://www.linkedin.com/feed/update/urn:li:activity:7314617918149857280,04/06/2025,286,9.8%
"First rides, scraped knees, and proud cheers - mining makes these moments possible. From the Blue Ridge Mountains to the coastal planes, minerals mined throughout Virginia are critical to manufacturing processes across the globe, as well as core memories here at home. Next time you watch a wobbly first ride, remember the unseen connection between our natural resources and life's precious moments.
#ifitsnotgrownitsmined #criticalminerals #mineralmining 

Learn more about Virginia's rich geology at https://lnkd.in/eZd8mzjg 
",https://www.linkedin.com/feed/update/urn:li:activity:7314346280380489729,04/05/2025,102,9.8%
"Virginia leads the nation as the #1 state for business thanks to our world-class infrastructure, business-friendly policies, skilled workforce, and reliable, affordable supply of energy. Our all-of-the-above energy approach—built on a solid foundation of nuclear and natural gas—delivers the power businesses need to thrive, attracting investment and fueling economic growth.

Learn more at https://lnkd.in/d8FJcwa7",https://www.linkedin.com/feed/update/urn:li:activity:7314285976594374656,04/05/2025,739,9.7%
"Virginia leads the nation as the #1 state for business thanks to our world-class infrastructure, business-friendly policies, skilled workforce, and reliable, affordable supply of energy. Our all-of-the-above energy approach—built on a solid foundation of nuclear and natural gas—delivers the power businesses need to thrive, attracting investment and fueling economic growth.

Learn more at https://lnkd.in/d8FJcwa7",https://www.linkedin.com/feed/update/urn:li:activity:7314285976594374656,04/05/2025,5180,0.1%
"Virginia leads the nation as the #1 state for business thanks to our world-class infrastructure, business-friendly policies, skilled workforce, and reliable, affordable supply of energy. Our all-of-the-above energy approach—built on a solid foundation of nuclear and natural gas—delivers the power businesses need to thrive, attracting investment and fueling economic growth.

Learn more at https://lnkd.in/d8FJcwa7",https://www.linkedin.com/feed/update/urn:li:activity:7314285976594374656,04/05/2025,5919,1.3%
